Shipment_ID,Origin_City,Destination_City,Carrier,Transport_Mode,Distance_KM,Weight_KG,Delivery_Time_Days,Shipping_Cost_INR,On_Time,Distance_KM_norm,Weight_KG_norm,Delivery_Time_Days_norm,Shipping_Cost_INR_norm
SHIP100358,Bangalore,Pune,Ekart,Air,601.3,12.28,7.28,4798.3,Yes,0.6220771576863396,0.05234581651120701,0.6908674054260604,0.4687313773605259
SHIP100338,Chennai,Pune,Bluedart,Road,663.7,22.36,7.01,5816.6,Yes,0.6888544063352776,0.09912292913824307,0.6633549866259074,0.575379862570812
SHIP100298,Pune,Bangalore,Delhivery,Rail,508.2,50.02,5.91,5427.91,Yes,0.5224463588206968,0.22748155366838368,0.5512673544771366,0.5346716236270959
SHIP100013,Pune,Pune,Bluedart,Air,537.6,51.61,6.79,5849.22,Yes,0.5539087163572156,0.2348600863149102,0.6409374601961533,0.5787962168746118
SHIP100420,Pune,Pune,Delhivery,Road,409.8,44.11,4.59,4250.2,Yes,0.41714377441275624,0.2000556870388417,0.4167621958986116,0.41132782757779224
SHIP100404,Bangalore,Delhi,Xpressbees,Rail,353.6,54.42,4.18,3399.15,Yes,0.35700144470009104,0.24790013457701054,0.37498407846134246,0.3221957512366218
SHIP100481,Kolkata,Mumbai,Xpressbees,Road,470.7,143.37,4.48,6510.15,Yes,0.48231580073840236,0.6606803099911829,0.40555343268373456,0.6480166659859095
SHIP100173,Mumbai,Hyderabad,Dtdc,Rail,378.1,26.68,5.9,3367.14,Yes,0.3832200759805234,0.11917026312125852,0.550248376003057,0.3188432833866942
SHIP100065,Kolkata,Kolkata,Ekart,Air,412.3,88.51,5.19,4661.33,Yes,0.4198191449515759,0.4060977307531672,0.47790090434339577,0.45438625016888023
SHIP100468,Pune,Kolkata,Dtdc,Road,372.7,121.91,4.96,5560.39,Yes,0.37744127561667296,0.5610933221959256,0.4544643994395618,0.548546504625484
SHIP100301,Chennai,Bangalore,Ekart,Road,168.6,62.91,3.02,2255.94,Yes,0.15902402482743863,0.28729871455752004,0.25678257546809324,0.2024652054473151
SHIP100228,Kolkata,Mumbai,Ekart,Road,239.4,20.84,3.81,2617.76,Yes,0.23479051848681048,0.09206923755162652,0.3372818749203923,0.24035929846389734
SHIP100476,Pune,Pune,Xpressbees,Air,394.3,82.66,5.21,5026.56,Yes,0.4005564770720746,0.37895029931783375,0.47993886129155516,0.4926374789357983
SHIP100109,Pune,Chennai,Bluedart,Air,541.4,16.88,7.33,4534.2,Yes,0.5579752795762214,0.07369251473386235,0.695962297796459,0.44107168479052045
SHIP100453,Mumbai,Kolkata,Ekart,Road,161.6,69.97,3.07,2286.28,Yes,0.15153298731874368,0.32006125574272587,0.26187746783849186,0.20564277103828055
SHIP100474,Mumbai,Pune,Delhivery,Road,464.8,128.53,5.91,5593.5,Yes,0.47600192626678806,0.5918140052902686,0.5512673544771366,0.5520141775561651
SHIP100302,Mumbai,Bangalore,Ekart,Road,609.0,60.65,7.38,6369.32,Yes,0.6303172989459042,0.2768109889089981,0.7010571901668576,0.6332672736927104
SHIP100490,Mumbai,Chennai,Ekart,Road,792.2,151.65,8.37,8313.02,Yes,0.8263684520306065,0.6991043667919625,0.8019360591007514,0.8368346513841892
SHIP100032,Delhi,Delhi,Bluedart,Road,528.6,187.41,4.7,7843.59,Yes,0.5442773824174649,0.8650517425402571,0.4279709591134887,0.7876703595131644
SHIP100248,Pune,Pune,Dtdc,Rail,718.7,70.405,5.71,6101.02,Yes,0.7477125581893094,0.32207991090073784,0.5308877849955419,0.6051677071780098
SHIP100478,Delhi,Chennai,Ekart,Air,507.5,92.67,6.67,5805.45,Yes,0.5216972550698272,0.42540257088495986,0.6287097185071965,0.5742121019795374
SHIP100485,Pune,Pune,Dtdc,Road,314.6,102.88,4.94,3558.35,Yes,0.31526566429450487,0.4727829597661144,0.4524264424914024,0.3388690683784047
SHIP100202,Hyderabad,Mumbai,Delhivery,Road,321.0,203.55,3.82,5792.4,Yes,0.3221146128738831,0.9399508097823565,0.338300853394472,0.5728453507942344
SHIP100246,Mumbai,Kolkata,Delhivery,Rail,614.4,70.405,5.395,5684.78,No,0.6360960993097545,0.32207991090073784,0.4987899630620302,0.5615741046208758
SHIP100147,Hyderabad,Hyderabad,Xpressbees,Road,518.6,75.94,5.29,5292.21,Yes,0.5335759002621865,0.34776555756647637,0.48809068908419306,0.5204595059377746
SHIP100330,Bangalore,Hyderabad,Ekart,Road,454.4,146.66,3.9,5815.53,Yes,0.46487238482529836,0.6759478398069515,0.34645268118710987,0.5752677994468061
SHIP100336,Mumbai,Bangalore,Bluedart,Road,416.3,78.08,4.14,4326.54,Yes,0.4240997378136873,0.35769641282658127,0.3709081645650235,0.41932306018208687
SHIP100310,Pune,Pune,Bluedart,Air,470.4,82.27,4.53,4853.04,Yes,0.481994756273744,0.37714047055547817,0.41064832505413323,0.47446440110638766
SHIP100363,Bangalore,Pune,Xpressbees,Air,284.0,24.07,3.17,2512.4,Yes,0.2825191288993526,0.1070583321731867,0.27206725257928926,0.2293247463655415
SHIP100313,Kolkata,Pune,Bluedart,Rail,329.7,41.67,5.02,3478.41,Yes,0.33142490234897537,0.1887326558076941,0.4605782702840402,0.33049680096437123
SHIP100227,Bangalore,Delhi,Dtdc,Road,354.1,47.79,4.9,3892.35,Yes,0.357536518807855,0.21713304561696598,0.44835052859508345,0.37384952017083867
SHIP100256,Hyderabad,Mumbai,Ekart,Air,462.1,127.47,6.32,5316.22,Yes,0.47311252608486287,0.5868949835259176,0.5930454719144058,0.5229741186549492
SHIP100089,Pune,Delhi,Delhivery,Road,331.8,103.31,2.95,3857.39,Yes,0.3336722136015839,0.4747784119912757,0.2496497261495351,0.37018809324070845
SHIP100457,Pune,Bangalore,Bluedart,Road,418.3,42.38,6.71,4693.7,No,0.426240034244743,0.19202747227249525,0.6327856324035155,0.4577764214997816
SHIP100308,Bangalore,Pune,Delhivery,Road,373.3,17.03,6.38,3454.92,No,0.37808336454598973,0.07438860271938373,0.5991593427588842,0.3280366488308255
SHIP100118,Bangalore,Delhi,Ekart,Road,410.2,54.23,5.48,4116.65,Yes,0.4175718336989674,0.24701842312868344,0.507451280091708,0.3973408834553983
SHIP100357,Kolkata,Bangalore,Ekart,Road,359.1,215.21,5.77,5765.92,Yes,0.36288725988549425,0.9940600491902176,0.5370016558400204,0.5700720503048222
SHIP100452,Mumbai,Chennai,Dtdc,Road,463.6,70.405,5.32,4205.45,Yes,0.47471774840815467,0.32207991090073784,0.4911476245064323,0.4066410754289556
SHIP100493,Bangalore,Chennai,Dtdc,Rail,177.5,136.51,3.02,3256.88,Yes,0.1685483439456365,0.6288458861200055,0.25678257546809324,0.30729554501952727
SHIP100236,Bangalore,Bangalore,Delhivery,Road,270.3,191.28,4.55,5723.74,Yes,0.26785809834662105,0.8830108125667084,0.4126862820022927,0.5656544591173825
SHIP100090,Pune,Delhi,Dtdc,Rail,261.6,48.09,4.77,2855.86,Yes,0.2585478088715288,0.21852522158800874,0.4351038084320468,0.2652959618524558
SHIP100377,Mumbai,Delhi,Xpressbees,Road,486.2,29.54,6.82,4201.22,Yes,0.49890309807908406,0.13244234071186597,0.6439943956183926,0.4061980595275126
SHIP100138,Bangalore,Bangalore,Delhivery,Road,672.9,46.13,7.89,6200.17,Yes,0.6986997699181338,0.2094296719105295,0.7530250923449241,0.6155518742295661
SHIP100101,Mumbai,Bangalore,Ekart,Rail,550.1,85.23,5.27,5543.94,Yes,0.5672855690513138,0.39087660680309994,0.48605273213603356,0.5468236650087608
SHIP100461,Mumbai,Mumbai,Bluedart,Road,755.1,172.7,5.83,9418.55,Yes,0.7866659532345232,0.7967887140934613,0.5431155266844988,0.9526188994982295
SHIP100232,Mumbai,Pune,Xpressbees,Road,749.0,147.31,5.86,5136.31,Yes,0.7801380491198032,0.6789642210775442,0.546172462106738,0.5041318040382523
SHIP100314,Bangalore,Bangalore,Xpressbees,Road,787.2,141.71,7.16,9768.28,Yes,0.8210177109529672,0.6529769362847464,0.6786396637371035,0.9892467839454391
