Shipment_ID,Origin_City,Destination_City,Carrier,Transport_Mode,Distance_KM,Weight_KG,Delivery_Time_Days,Shipping_Cost_INR,On_Time
SHIP100358,Bangalore,Pune,Ekart,Air,601.3,12.28,7.28,4798.3,Yes
SHIP100338,Chennai,PUNE,BlueDart,Road,663.7,22.36,7.01,5816.6,Yes
SHIP100298,Pune,bangalore,Delhivery,Rail,508.2,50.02,5.91,5427.91,Yes
SHIP100013,Pune,PUNE,BlueDart,AIR,537.6,51.61,6.79,5849.22,Yes
SHIP100420,PUNE,Pune,Delhivery,Road,409.8,44.11,4.59,4250.2,Yes
SHIP100404,Bangalore,Delhi,XpressBees,Rail,353.6,54.42,4.18,3399.15,Yes
SHIP100481,Kolkata,mumbai,XpressBees,road,470.7,143.37,4.48,6510.15,Yes
SHIP100173,Mumbai,Hyderabad,DTDC,Rail,378.1,26.68,5.9,3367.14,Yes
SHIP100065,Kolkata,Kolkata,Ekart,Air,412.3,88.51,5.19,4661.33,Yes
SHIP100468,Pune,Kolkata,DTDC,Road,372.7,121.91,4.96,5560.39,Yes
SHIP100301,Chennai,bangalore,Ekart,Road,168.6,62.91,3.02,2255.94,Yes
SHIP100228,Kolkata,mumbai,Ekart,Road,239.4,20.84,3.81,2617.76,Yes
SHIP100476,PUNE,PUNE,XpressBees,Air,394.3,82.66,5.21,5026.56,Yes
SHIP100109,Pune,Chennai,BlueDart,Air,541.4,16.88,7.33,4534.2,Yes
SHIP100453,Mumbai,Kolkata,Ekart,Road,161.6,69.97,3.07,2286.28,Yes
SHIP100474,mumbai,PUNE,Delhivery,Road,464.8,128.53,5.91,5593.5,Yes
SHIP100302,Mumbai,Bangalore,Ekart,Road,609.0,60.65,7.38,6369.32,Yes
SHIP100490,Mumbai,Chennai,Ekart,road,792.2,151.65,8.37,8313.02,Yes
SHIP100032,Delhi,Delhi,BlueDart,Road,528.6,187.41,4.7,7843.59,Yes
SHIP100248,PUNE,,DTDC,Rail,718.7,,5.71,6101.02,Yes
SHIP100478,Delhi,Chennai,Ekart,AIR,507.5,92.67,6.67,5805.45,Yes
SHIP100485,Pune,PUNE,DTDC,road,314.6,102.88,4.94,3558.35,Yes
SHIP100202,Hyderabad,mumbai,Delhivery,road,321.0,203.55,3.82,5792.4,Yes
SHIP100246,Mumbai,Kolkata,Delhivery,Rail,614.4,,,5684.78,No
SHIP100147,Hyderabad,Hyderabad,XpressBees,road,518.6,75.94,5.29,5292.21,Yes
SHIP100330,Bangalore,Hyderabad,Ekart,Road,454.4,146.66,3.9,5815.53,Yes
SHIP100336,mumbai,Bangalore,BlueDart,Road,416.3,78.08,4.14,4326.54,Yes
SHIP100310,Pune,,BlueDart,Air,470.4,82.27,4.53,4853.04,Yes
SHIP100363,Bangalore,Pune,XpressBees,Air,284.0,24.07,3.17,2512.4,Yes
SHIP100313,Kolkata,PUNE,BlueDart,Rail,329.7,41.67,5.02,3478.41,Yes
SHIP100227,bangalore,Delhi,DTDC,Road,354.1,47.79,4.9,3892.35,Yes
SHIP100256,Hyderabad,Mumbai,Ekart,AIR,462.1,127.47,6.32,5316.22,Yes
SHIP100089,Pune,Delhi,Delhivery,Road,331.8,103.31,2.95,3857.39,Yes
SHIP100457,Pune,bangalore,BlueDart,road,418.3,42.38,6.71,4693.7,No
SHIP100308,bangalore,PUNE,Delhivery,Road,373.3,17.03,6.38,3454.92,No
SHIP100118,bangalore,Delhi,Ekart,Road,410.2,54.23,5.48,4116.65,Yes
SHIP100357,Kolkata,Bangalore,Ekart,Road,359.1,215.21,5.77,5765.92,Yes
SHIP100452,Mumbai,Chennai,DTDC,Road,463.6,,5.32,4205.45,Yes
SHIP100493,bangalore,Chennai,DTDC,Rail,177.5,136.51,3.02,3256.88,Yes
SHIP100236,bangalore,Bangalore,Delhivery,Road,270.3,191.28,4.55,5723.74,Yes
SHIP100090,Pune,Delhi,DTDC,Rail,261.6,48.09,4.77,2855.86,Yes
SHIP100377,mumbai,Delhi,XpressBees,Road,486.2,29.54,6.82,4201.22,Yes
SHIP100138,Bangalore,bangalore,Delhivery,road,672.9,46.13,7.89,6200.17,Yes
SHIP100101,Mumbai,Bangalore,Ekart,Rail,550.1,85.23,5.27,5543.94,Yes
SHIP100461,Mumbai,Mumbai,BlueDart,road,755.1,172.7,5.83,9418.55,Yes
SHIP100232,mumbai,Pune,XpressBees,Road,749.0,147.31,5.86,,Yes
SHIP100314,Bangalore,Bangalore,XpressBees,Road,787.2,141.71,7.16,9768.28,Yes
SHIP100360,PUNE,mumbai,Delhivery,AIR,407.0,126.36,4.76,5237.41,Yes
SHIP100155,Delhi,Delhi,DTDC,Road,555.9,49.37,5.6,5025.84,Yes
SHIP100368,Delhi,PUNE,Delhivery,road,629.7,78.6,5.37,6797.92,Yes
SHIP100328,Mumbai,Bangalore,DTDC,AIR,821.3,84.61,7.84,7129.13,Yes
SHIP100340,bangalore,bangalore,BlueDart,Rail,554.3,101.01,5.29,6622.83,Yes
SHIP100426,Bangalore,mumbai,DTDC,road,260.3,55.99,2.9,2782.59,Yes
SHIP100253,Chennai,Bangalore,Ekart,road,609.1,27.42,6.81,4537.47,Yes
SHIP100378,Kolkata,PUNE,Delhivery,road,2597.2,34.29,21.99,25444.95,Yes
SHIP100359,Mumbai,Hyderabad,DTDC,Road,548.4,27.67,5.74,5502.3,Yes
SHIP100115,Delhi,Chennai,Delhivery,road,96.1,45.27,3.35,1525.03,Yes
SHIP100466,Kolkata,Bangalore,Ekart,Road,339.9,111.11,5.09,3774.49,Yes
SHIP100051,Mumbai,Pune,DTDC,Road,554.3,103.81,8.53,6633.32,No
SHIP100271,Chennai,PUNE,BlueDart,AIR,656.8,201.74,7.68,7872.48,Yes
SHIP100496,bangalore,Kolkata,Delhivery,Road,498.1,44.53,5.61,4804.1,Yes
SHIP100264,Hyderabad,Kolkata,BlueDart,AIR,534.0,90.45,5.56,6470.49,Yes
SHIP100060,PUNE,PUNE,Ekart,road,418.9,163.81,6.46,5908.04,Yes
SHIP100263,Pune,Hyderabad,XpressBees,road,205.8,192.97,3.9,4665.3,Yes
SHIP100164,Mumbai,bangalore,BlueDart,AIR,308.7,70.55,4.75,,Yes
SHIP100204,Pune,mumbai,Ekart,AIR,435.1,302.79,6.62,7320.32,Yes
SHIP100422,Delhi,PUNE,Delhivery,Road,446.5,172.33,2.86,6511.48,Yes
SHIP100132,Pune,Hyderabad,Delhivery,Rail,482.6,20.32,9.02,3620.17,No
SHIP100451,Pune,Pune,BlueDart,Road,583.6,128.31,7.92,7581.55,No
SHIP100212,bangalore,Mumbai,XpressBees,Rail,409.2,15.32,3.99,3231.92,Yes
SHIP100082,Chennai,Mumbai,Delhivery,Road,812.4,61.22,7.57,8012.67,Yes
SHIP100442,Mumbai,Chennai,XpressBees,Road,332.3,147.41,3.3,5136.31,Yes
SHIP100355,Bangalore,Mumbai,BlueDart,Rail,445.9,81.19,3.87,4388.68,Yes
SHIP100238,Hyderabad,PUNE,XpressBees,Road,587.9,30.85,6.66,5822.75,Yes
SHIP100168,bangalore,Kolkata,Delhivery,Rail,290.3,22.15,4.82,2459.68,Yes
SHIP100300,Delhi,Mumbai,DTDC,Road,397.5,17.85,6.52,3443.13,No
SHIP100030,Hyderabad,bangalore,Delhivery,Air,478.9,223.39,5.23,8312.91,Yes
SHIP100022,Kolkata,PUNE,Ekart,Air,411.6,,,5088.24,Yes
SHIP100261,mumbai,Mumbai,DTDC,Road,224.2,87.43,3.19,3481.19,Yes
SHIP100031,Pune,Kolkata,Ekart,Road,450.5,156.67,3.97,7046.45,Yes
SHIP100362,Bangalore,Kolkata,XpressBees,road,379.5,127.0,5.58,,Yes
SHIP100052,PUNE,Chennai,BlueDart,road,471.5,29.25,5.6,4610.39,Yes
SHIP100482,Delhi,Pune,Ekart,Road,421.2,218.92,5.36,7921.5,Yes
SHIP100321,bangalore,Hyderabad,DTDC,Road,297.7,375.17,4.15,7605.23,Yes
SHIP100244,Bangalore,Pune,XpressBees,Air,409.2,17.18,6.79,3881.64,No
SHIP100237,Hyderabad,Chennai,Delhivery,Rail,504.3,86.56,5.48,4722.27,Yes
SHIP100056,mumbai,Mumbai,BlueDart,road,445.1,53.33,5.4,4475.25,Yes
SHIP100364,Delhi,Delhi,DTDC,Road,740.8,47.94,8.0,7103.22,Yes
SHIP100002,Chennai,Mumbai,DTDC,Air,700.2,126.9,9.8,8990.24,No
SHIP100058,Bangalore,Hyderabad,,road,370.2,95.13,5.88,4510.81,Yes
SHIP100369,bangalore,Pune,BlueDart,road,372.3,19.36,4.26,3858.8,Yes
SHIP100431,Kolkata,Pune,XpressBees,Air,419.6,37.4,5.41,4240.39,Yes
SHIP100341,Hyderabad,Hyderabad,Ekart,Road,508.6,20.82,6.91,5113.99,Yes
SHIP100293,Pune,Pune,Delhivery,road,306.1,31.74,4.43,2747.9,Yes
SHIP100074,Chennai,Hyderabad,DTDC,Road,583.6,100.2,5.66,7246.73,Yes
SHIP100324,mumbai,PUNE,DTDC,Air,389.7,2.37,3.45,3436.64,Yes
SHIP100303,Delhi,Kolkata,XpressBees,Air,436.0,60.65,7.24,4580.78,No
SHIP100414,PUNE,Hyderabad,DTDC,Road,281.6,251.78,3.11,5629.67,Yes
SHIP100409,Delhi,Pune,XpressBees,Road,371.6,106.53,4.03,5412.28,Yes
SHIP100080,bangalore,Hyderabad,XpressBees,Road,532.8,28.23,4.25,,Yes
SHIP100306,PUNE,PUNE,XpressBees,Road,503.8,75.37,4.51,4568.23,Yes
SHIP100026,Kolkata,bangalore,XpressBees,Rail,339.6,61.56,3.57,4117.09,Yes
SHIP100305,Mumbai,Mumbai,DTDC,Rail,1024.8,38.75,10.48,8233.35,Yes
SHIP100462,Kolkata,Delhi,XpressBees,Road,337.9,56.5,3.96,4091.56,Yes
SHIP100120,Kolkata,PUNE,XpressBees,road,505.3,15.82,6.85,3759.18,Yes
SHIP100347,bangalore,PUNE,Delhivery,Air,687.2,230.55,5.7,8847.58,Yes
SHIP100459,Pune,Bangalore,DTDC,Air,549.3,156.52,6.73,6852.61,Yes
SHIP100159,Chennai,Delhi,BlueDart,road,530.0,231.71,4.89,7762.86,Yes
SHIP100389,bangalore,Chennai,BlueDart,road,482.3,20.27,5.49,,Yes
SHIP100050,Pune,Bangalore,DTDC,Air,447.2,125.67,,6497.43,Yes
SHIP100429,mumbai,bangalore,Ekart,Road,757.9,54.34,7.4,6543.03,Yes
SHIP100294,Mumbai,Hyderabad,Ekart,road,1491.6,44.8,14.27,14366.58,Yes
SHIP100014,Bangalore,Pune,DTDC,road,461.6,119.39,4.49,4888.92,Yes
SHIP100418,Delhi,Delhi,DTDC,Road,516.1,133.56,7.25,6802.57,Yes
SHIP100447,Mumbai,Bangalore,Delhivery,Road,621.5,,6.02,5698.64,Yes
SHIP100114,Mumbai,Kolkata,Ekart,Air,261.9,60.29,2.95,3148.76,Yes
SHIP100145,Mumbai,Delhi,BlueDart,Rail,133.1,37.02,3.32,1690.71,Yes
SHIP100003,Delhi,PUNE,Ekart,Road,550.4,149.28,5.09,6377.5,Yes
SHIP100384,bangalore,Kolkata,BlueDart,Air,472.7,16.51,4.15,3850.85,Yes
SHIP100059,Kolkata,PUNE,Delhivery,road,290.7,82.77,5.27,3806.69,Yes
SHIP100396,mumbai,Hyderabad,DTDC,Road,571.1,29.68,7.11,4435.72,Yes
SHIP100165,Mumbai,Delhi,DTDC,Road,566.7,69.94,5.86,5955.12,Yes
SHIP100222,Hyderabad,Mumbai,BlueDart,road,508.2,142.38,5.32,5575.9,Yes
SHIP100098,Hyderabad,Mumbai,Delhivery,Air,391.9,79.52,6.38,4551.1,No
SHIP100469,Hyderabad,Delhi,XpressBees,Road,325.4,37.58,4.17,2936.17,Yes
SHIP100040,Hyderabad,Bangalore,DTDC,Rail,239.4,95.77,4.52,3331.16,Yes
SHIP100249,Mumbai,Delhi,DTDC,Air,401.2,77.38,4.19,4817.84,Yes
SHIP100041,mumbai,bangalore,Delhivery,Air,125.6,76.63,2.68,2331.6,Yes
SHIP100395,Mumbai,Mumbai,XpressBees,Rail,406.6,,3.88,7060.54,Yes
